1358.280 1355.560 2014-10-13 00:00:00	 1349.600 2014-10-14 00:00:00 -8.680
1339.050 1353.460 2014-10-16 00:00:00	 1220.580 2014-10-17 00:00:00 -118.470
1211.650 1336.790 2014-10-20 00:00:00	 1216.700 2014-10-21 00:00:00 5.050
1225.930 1318.670 2014-10-22 00:00:00	 1232.680 2014-10-23 00:00:00 6.750
1228.580 1297.890 2014-10-27 00:00:00	 1239.300 2014-10-28 00:00:00 10.720
1253.030 1279.230 2014-10-29 00:00:00	 1279.100 2014-10-30 00:00:00 26.070
1295.180 1268.110 2014-11-03 00:00:00	 1299.750 2014-11-05 00:00:00 4.570
1286.430 1259.420 2014-11-07 00:00:00	 1284.830 2014-11-10 00:00:00 -1.600
1290.350 1260.530 2014-11-11 00:00:00	 1295.880 2014-11-12 00:00:00 5.530
1294.230 1272.090 2014-11-13 00:00:00	 1303.230 2014-11-14 00:00:00 9.000
1309.150 1283.070 2014-11-17 00:00:00	 1292.930 2014-11-18 00:00:00 -16.220
1286.880 1291.060 2014-11-19 00:00:00	 1302.730 2014-11-20 00:00:00 15.850
1311.080 1296.900 2014-11-21 00:00:00	 1328.850 2014-11-24 00:00:00 17.770
1318.000 1300.310 2014-11-25 00:00:00	 1313.650 2014-11-26 00:00:00 -4.350
1326.650 1304.170 2014-11-27 00:00:00	 1321.500 2014-11-28 00:00:00 -5.150
1346.480 1310.800 2014-12-01 00:00:00	 1328.650 2014-12-02 00:00:00 -17.830
1317.680 1314.820 2014-12-03 00:00:00	 1318.980 2014-12-04 00:00:00 1.300
1289.480 1314.540 2014-12-05 00:00:00	 1256.400 2014-12-08 00:00:00 -33.080
1257.430 1309.830 2014-12-09 00:00:00	 1253.950 2014-12-10 00:00:00 -3.480
1246.080 1301.700 2014-12-11 00:00:00	 1225.350 2014-12-12 00:00:00 -20.730
1179.330 1284.400 2014-12-15 00:00:00	 1221.530 2014-12-16 00:00:00 42.200
1222.050 1270.350 2014-12-17 00:00:00	 1230.350 2014-12-18 00:00:00 8.300
1255.280 1257.320 2014-12-19 00:00:00	 1256.700 2014-12-22 00:00:00 1.420
1258.350 1247.950 2014-12-23 00:00:00	 1239.950 2014-12-24 00:00:00 -18.400
1252.500 1239.660 2014-12-26 00:00:00	 1261.450 2014-12-29 00:00:00 8.950
1265.030 1240.560 2014-12-30 00:00:00	 1279.130 2014-12-31 00:00:00 14.100
1272.780 1244.270 2015-01-01 00:00:00	 1289.730 2015-01-02 00:00:00 16.950
1270.130 1255.350 2015-01-05 00:00:00	 1223.300 2015-01-06 00:00:00 -46.830
